# Data Pengukuran Sensor Resistif 3-Wire (Dual ADC) - ESP32-S3
# Sweep naik: potensio diputar dari minimum ke maksimum
# ADC1  ADC2  Vtot_mV  Vsns_mV  Rx_raw       Rx_komp     Error_persen
4056    2396  3268     1930     1040000.0    14102.4     7274.62
4056    2468  3268     1988     1040000.0    15169.0     6756.08
4056    2661  3268     2144     1040000.0    18556.5     5504.51
4059    2825  3270     2276     1127500.0    22244.1     4968.76
4060    2953  3271     2379     1160000.0    25858.1     4386.01
4058    3063  3270     2468     1096756.8    29680.2     3595.24
4060    3158  3271     2544     1160000.0    33703.3     3341.80
4057    3252  3269     2620     1067631.6    38576.5     2667.57
4057    3290  3269     2651     1067631.6    40869.6     2512.29
4054    3332  3266     2685     988780.5     43669.7     2164.22
4057    3389  3269     2731     1067631.6    48002.8     2124.10
4058    3467  3270     2793     1096756.8    55207.0     1886.63
4058    3544  3270     2855     1096756.8    64319.4     1605.17
4059    3612  3270     2910     1127500.0    74782.6     1407.70
4056    3707  3268     2987     1040000.0    95541.2     988.54
# Sweep turun: potensio diputar kembali dari maksimum ke minimum
4058    3650  3270     2941     1096756.8    82022.5     1237.14
4059    3541  3270     2853     1127500.0    63917.0     1664.01
4058    3422  3270     2757     1096756.8    50847.0     2056.98
4058    3353  3270     2702     1096756.8    45188.7     2327.06
4058    3279  3270     2642     1096756.8    40183.8     2629.35
4057    3213  3269     2589     1067631.6    36428.6     2830.75
4057    3168  3269     2552     1067631.6    34174.8     3024.04
4058    3084  3270     2485     1096756.8    30504.5     3495.40
4058    3035  3270     2445     1096756.8    28632.1     3730.52
4058    2970  3270     2393     1096756.8    26400.0     4054.38
4057    2901  3269     2337     1067631.6    24296.5     4294.18
4059    2806  3270     2261     1127500.0    21768.8     5079.43
4058    2714  3270     2187     1096756.8    19652.4     5480.77
4055    2622  3267     2112     1013750.0    17800.4     5595.09
4060    2494  3271     2009     1160000.0    15577.8     7346.51
4057    2323  3269     1872     1067631.6    13109.5     8043.97
4058    2195  3270     1768     1096756.8    11552.6     9393.57
4057    2133  3269     1718     1067631.6    10871.6     9720.41
4059    1987  3270     1601     1127500.0    9426.0      11861.60
